,index,FP1_delta,FP1_theta,FP1_alpha,FP1_beta,FP1_gamma,FP2_delta,FP2_theta,FP2_alpha,FP2_beta,FP2_gamma,F7_delta,F7_theta,F7_alpha,F7_beta,F7_gamma,F3_delta,F3_theta,F3_alpha,F3_beta,F3_gamma,FZ_delta,FZ_theta,FZ_alpha,FZ_beta,FZ_gamma,F4_delta,F4_theta,F4_alpha,F4_beta,F4_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,FT7_delta,FT7_theta,FT7_alpha,FT7_beta,FT7_gamma,FC3_delta,FC3_theta,FC3_alpha,FC3_beta,FC3_gamma,FCZ_delta,FCZ_theta,FCZ_alpha,FCZ_beta,FCZ_gamma,FC4_delta,FC4_theta,FC4_alpha,FC4_beta,FC4_gamma,FT8_delta,FT8_theta,FT8_alpha,FT8_beta,FT8_gamma,T3_delta,T3_theta,T3_alpha,T3_beta,T3_gamma,C3_delta,C3_theta,C3_alpha,C3_beta,C3_gamma,CZ_delta,CZ_theta,CZ_alpha,CZ_beta,CZ_gamma,C4_delta,C4_theta,C4_alpha,C4_beta,C4_gamma,T4_delta,T4_theta,T4_alpha,T4_beta,T4_gamma,TP7_delta,TP7_theta,TP7_alpha,TP7_beta,TP7_gamma,CP3_delta,CP3_theta,CP3_alpha,CP3_beta,CP3_gamma,CPZ_delta,CPZ_theta,CPZ_alpha,CPZ_beta,CPZ_gamma,CP4_delta,CP4_theta,CP4_alpha,CP4_beta,CP4_gamma,TP8_delta,TP8_theta,TP8_alpha,TP8_beta,TP8_gamma,T5_delta,T5_theta,T5_alpha,T5_beta,T5_gamma,P3_delta,P3_theta,P3_alpha,P3_beta,P3_gamma,PZ_delta,PZ_theta,PZ_alpha,PZ_beta,PZ_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma,T6_delta,T6_theta,T6_alpha,T6_beta,T6_gamma,O1_delta,O1_theta,O1_alpha,O1_beta,O1_gamma,OZ_delta,OZ_theta,OZ_alpha,OZ_beta,OZ_gamma,O2_delta,O2_theta,O2_alpha,O2_beta,O2_gamma,label
8,8,0.08467922097847777,0.0,0.11599698448778725,0.08247938168849316,0.019744231434007976,0.0881328599546541,0.0,0.11043018944051107,0.07039622938904634,0.01270525680594698,0.0641532962037183,0.0,0.09019867248200464,0.18291261350425211,0.0766815615086374,0.07974246850231632,0.0,0.09332134829692304,0.17240360105973804,0.07257723096530108,0.10847996905203998,0.0,0.10033912677058757,0.09048562674452867,0.0127149003108857,0.11551767143682365,0.0,0.10112858516092543,0.08759451741009179,0.012474521030933926,0.08964895885051799,0.0,0.11845060665222208,0.07346907228977875,0.011442588317301385,0.08085154074607774,0.0,0.08986744612505372,0.16936090800236206,0.04391146181476136,0.08219076424711727,0.0,0.10798054567723084,0.1347869035144324,0.027246052628167868,0.11767217734301293,0.0,0.10086477486169454,0.11284732146040374,0.01952803186475612,0.1198811177518084,0.0,0.10417368651003707,0.0964860427266252,0.021530197172929838,0.10161302145756224,0.0,0.11524224768530095,0.08480291469031086,0.028720878571342045,0.08548903209139971,0.0,0.1047894403559432,0.10466912292278067,0.021341426016284176,0.08691799627678365,0.0,0.12372773836608338,0.12001128862828035,0.01663149875238163,0.11311298087549775,0.0,0.11902247063433652,0.09509489839917083,0.014138699926418216,0.11986159579753933,0.0,0.12664352919120822,0.09097417683261072,0.016241398858606558,0.12565567818268492,0.0,0.1266720037000547,0.08457197539715894,0.017208393671608566,0.06986372198263444,0.0,0.1405987572186937,0.0945912783064474,0.02404101734925979,0.06802140696037923,0.0,0.16803925123382546,0.07135203695690923,0.011147199045556931,0.09523193536441868,0.0,0.162277854487803,0.07569457162406228,0.01278051785148042,0.1159716206506534,0.0,0.1458597843968534,0.0779728389180836,0.010483415166895034,0.11870501554535035,0.0,0.15413378763638294,0.09546371717424862,0.040026356543089364,0.06185722307232985,0.0,0.17999583675429295,0.07388620050768087,0.011119545338931985,0.07081270666929855,0.0,0.19021099638012195,0.052167258870522745,0.007711789100778569,0.08089328695632808,0.0,0.19769824185653834,0.04809054732034098,0.006826022460015045,0.11033688739662677,0.0,0.1730424459000151,0.06282303060486286,0.008738957756053734,0.11402613121680864,0.0,0.14459850362704255,0.0999934305863534,0.02107455455866274,0.05536438372471625,0.0,0.24469599337402226,0.042082682722739205,0.006691764678462679,0.07079107078833591,0.0,0.23683748098105464,0.05148900972672587,0.01108708480034912,0.1265373784014004,0.0,0.17852617986007302,0.06902735818061582,0.008052428944012861,1.0
12,12,0.06919211170889326,0.0,0.16103721278829314,0.10283895410593796,0.020045049893304197,0.10090256287636816,0.0,0.13959719585878005,0.07284717044051127,0.012830201744452643,0.03612750909232525,0.0,0.13393236744361536,0.14790676191002672,0.1177793729054432,0.059058061941822365,0.0,0.12405658247432465,0.20350449897931816,0.09640947945094533,0.09531828221043878,0.0,0.13616763943015686,0.10548169928477932,0.013140872612605476,0.1031722030384198,0.0,0.1440586796645396,0.10525888620527388,0.013370571006298348,0.07303256441447226,0.0,0.18157338759000136,0.07660658878847662,0.013206959874956995,0.0375066148505293,0.0,0.1188535572822472,0.23201384394058566,0.07941828318073148,0.06447136815968571,0.0,0.1570633755493811,0.15238253449979414,0.0319661726735802,0.09413825986807817,0.0,0.1582524756201544,0.1141126666780315,0.012972738144257891,0.09659386957417587,0.0,0.15286272978561105,0.11988672344704628,0.028215537328758325,0.08745917550590672,0.0,0.17163460927006874,0.10606717187862352,0.026130691931512764,0.04704235456543646,0.0,0.17150411174365776,0.10538592464687307,0.022100854108553527,0.059686222790741476,0.0,0.2038230936387558,0.11500949523559532,0.015247684023778834,0.07779723579451722,0.0,0.19504004029451144,0.10890956058922248,0.01138647418683783,0.07993399428951363,0.0,0.2013926482161632,0.09729193589495252,0.015167441599956581,0.092201014368471,0.0,0.19472990368500728,0.07869969218616703,0.017004852488698482,0.06154112480635244,0.0,0.18332345923396104,0.10877112511265516,0.01598802394294594,0.042329399723744006,0.0,0.2658722334017625,0.07255726975511374,0.008588032310605924,0.05650898845995121,0.0,0.2594249379217639,0.07377281271644663,0.008145301003914586,0.06997501019965817,0.0,0.2406512334949653,0.07380972197951086,0.008495891932368016,0.08581641513504529,0.0,0.22466127532307134,0.06722976468124946,0.011116471371273879,0.06669810965098008,0.0,0.2102756363821432,0.098722655791852,0.009869817734093737,0.040055713683297314,0.0,0.28365107095570496,0.05720225544008058,0.007066286359810066,0.04029054864967824,0.0,0.2978734103826232,0.05539301996529333,0.006777317553138546,0.05053491131722013,0.0,0.2849859580460971,0.046636054882829216,0.005001028416057469,0.07608170205274056,0.0,0.2427084241052962,0.05339919681494379,0.007937949519382198,0.04110583252520696,0.0,0.2857497166456264,0.07058820681556811,0.005164996291799882,0.036753341796886864,0.0,0.29415529872492185,0.06997433999375252,0.004725954638247978,0.05469313050972532,0.0,0.27284596629183433,0.058550915350902136,0.005045241129510082,0.0
15,15,0.15198080708090336,0.0,0.14958427125204207,0.07933721500476594,0.02753702382678867,0.14365438178086518,0.0,0.14360018236492764,0.07128077715290895,0.018280684146841742,0.0931287428094656,0.0,0.10437368667243917,0.20911244557860265,0.1724195257520126,0.11974242637638985,0.0,0.11963430291688795,0.2008227584335409,0.1002357875361548,0.15381137903725742,0.0,0.13983209371407385,0.0722314563254897,0.01660243934747685,0.12932125984697287,0.0,0.1416998584784339,0.06504155705602059,0.012559911212502682,0.0957763324633402,0.0,0.17400138908479393,0.07836643176996222,0.02466271927470225,0.095897706394128,0.0,0.08698537467284492,0.3309943603176128,0.1381419090813359,0.14135553286211638,0.0,0.14808343917102368,0.11669030528840385,0.04074344544948586,0.1555054836322129,0.0,0.14453125699961938,0.06990689835366495,0.015554429224149076,0.12324895879739987,0.0,0.14152008919054954,0.06741682082167688,0.022629848869302974,0.10957759571855173,0.0,0.15211859851469112,0.08360083839506305,0.03931878180856642,0.15406914302703706,0.0,0.1276244651325485,0.12083469316387305,0.04626035892167727,0.14578859110534442,0.0,0.1611897371255001,0.09682774177847646,0.02468116347248425,0.15580965833567378,0.0,0.1476357518207102,0.05702685884746639,0.01559626890771679,0.12004411418969957,0.0,0.13971969982596405,0.06268884253174432,0.01793150743731842,0.12323510996926873,0.0,0.12880787458456086,0.07435701825295651,0.026940468477309597,0.13870590675148795,0.0,0.09603542982264954,0.16133235647449493,0.03645834398812611,0.11220898304367166,0.0,0.1734896922449522,0.10864231637783664,0.022776386687116013,0.12612040324211354,0.0,0.15763018708449522,0.058828821558548974,0.01812451698858564,0.1058716215565354,0.0,0.1442513329822474,0.06343725524794472,0.01643688278143254,0.1502360125224173,0.0,0.08541661996340848,0.0814780461821673,0.01865877861778583,0.08412125789005143,0.0,0.1120436469891357,0.17770454744770628,0.023041726581897033,0.10075738767574667,0.0,0.16266652433183265,0.12804788053675698,0.02512350955775972,0.08952463233349119,0.0,0.1709533498141361,0.08391123453702408,0.020287347640711047,0.11182972585348457,0.0,0.13294101084030352,0.0670138702366324,0.019280456263826316,0.1493742462422751,0.0,0.09880792614300096,0.07453284587130862,0.020761194466288383,0.08626281255901942,0.0,0.15201625432545407,0.1599045104656716,0.02437896757914933,0.07666031428425985,0.0,0.17560999195011465,0.15058028118568229,0.031220696735976806,0.11474549338963275,0.0,0.15404317595689246,0.11262491282618405,0.03060911751728425,0.0
17,17,0.06747701443267058,0.0,0.12449925326330458,0.05930465466014161,0.019648904970477773,0.08700120730151133,0.0,0.11871284699681985,0.04506413443563336,0.019459162663486025,0.07193987724962833,0.0,0.08290633969095247,0.16489794682587694,0.10218528293348028,0.0764018776309789,0.0,0.08730223318869508,0.10204225685867746,0.0789682254216621,0.09009416488621573,0.0,0.098974292746231,0.04993781808883699,0.01873251924488571,0.09106254569489404,0.0,0.1108753632323535,0.04888985874273233,0.020487508936115305,0.08006984920629655,0.0,0.12203210921158887,0.05204056555530501,0.021235593986893692,0.07092760401356131,0.0,0.07057449990659832,0.2645019420510328,0.0903797774881825,0.08750986360160021,0.0,0.09410675321541273,0.0823460367528748,0.04126632948099801,0.09769935457524408,0.0,0.10097539574514404,0.054908823798986685,0.017017482113976443,0.09306733935513643,0.0,0.1115805377925467,0.0595772949965964,0.03610931364386101,0.09979308219955237,0.0,0.12148516030861276,0.06255939340144874,0.0323942353676891,0.09814780409781812,0.0,0.10039557168454116,0.0862376826620164,0.025037035274630973,0.08882442543721583,0.0,0.1018234110915099,0.08061053402882819,0.02225367391135506,0.09891465475561874,0.0,0.11069096728795004,0.05746128413812274,0.017552764150268622,0.09612403845818476,0.0,0.11886008332900258,0.05936269287034805,0.02747501369675824,0.12370333510589533,0.0,0.11625361863150875,0.05294545440869187,0.026469126709442337,0.08500044618193488,0.0,0.11772948757131725,0.08989770845406844,0.01707246790361081,0.07759971304005576,0.0,0.1317905551018112,0.07858546184783753,0.017500109948096868,0.09495406668208796,0.0,0.12922377963816048,0.06310679859488404,0.016652733589866794,0.09932379136919944,0.0,0.12679761784919594,0.062479771066809714,0.021252340039042198,0.1563150435118798,0.0,0.10481132061350842,0.098896425129262,0.031825082523181815,0.05665937297501784,0.0,0.15421568869381386,0.0764466027010928,0.010635733077287608,0.07621246143865709,0.0,0.15860464371350244,0.06804062314480094,0.01474159683584998,0.08951573599594899,0.0,0.1570675644610396,0.06629759596768688,0.016617209363848896,0.09994960540029936,0.0,0.1493796838498986,0.06719211390638759,0.020099865163912142,0.08903934190425837,0.0,0.17417110130980604,0.08668948566918115,0.016177448407484953,0.049095900955755084,0.0,0.19687471047619726,0.04992113825829262,0.009689312471528171,0.07612427212947348,0.0,0.19626135313674534,0.06416280535656656,0.013550467786816643,0.07953617106539505,0.0,0.2007726852155098,0.06757916366499507,0.01309713321975542,1.0
18,18,0.1882270962424281,0.0,0.06251698571738322,0.10294510222848888,0.028447914219234486,0.2318706934504226,0.0,0.04473840108365415,0.07192609673762725,0.021576303518515944,0.15351427101852055,0.0,0.046137518064217585,0.1431592954134073,0.15473573640386395,0.17058951323105664,0.0,0.04608245709672834,0.14142225369697148,0.10041003332487927,0.21108888237620813,0.0,0.04965378597180762,0.08232788064464723,0.018130396436646053,0.20778862185102606,0.0,0.04760757570284544,0.07763494849042754,0.01812645801331929,0.19506944030904255,0.0,0.06883201927732323,0.0661558994966465,0.023885673795405675,0.1489392365427355,0.0,0.03965307824409596,0.12426564674745005,0.1936984262143567,0.19415748568672755,0.0,0.053657728479284766,0.11022480508361338,0.05157962807420476,0.21258565059878576,0.0,0.058054374529719927,0.07523364034623985,0.016543410894023034,0.19234534972008124,0.0,0.05087309825561197,0.08792326851959505,0.03303721591405588,0.18360293911587355,0.0,0.06401643068035194,0.0813117942475471,0.03682921772582093,0.2006336609249968,0.0,0.04978171067670068,0.0920092071518509,0.040803773052649914,0.21352125586790136,0.0,0.0549967813473928,0.09887185168386936,0.030477479649981543,0.21187894376376654,0.0,0.06532227873385305,0.06770170682894264,0.01780199527331928,0.1995517095753437,0.0,0.059783853512821124,0.07866211398749877,0.02369249788641705,0.19596737559610186,0.0,0.0626943598398123,0.0781092897927894,0.026398691120842824,0.19928277312074386,0.0,0.06511855020229668,0.10686022488810908,0.03518829550127628,0.21769123397521564,0.0,0.060117837035739086,0.09170483651400248,0.026330723438811886,0.2180876745834957,0.0,0.06478886904338342,0.07470872399598721,0.0245127031697363,0.2261879421326846,0.0,0.05494031648900115,0.0679313020572986,0.021102651144821048,0.1854067576689385,0.0,0.053570776340810436,0.09474251637877484,0.024158531996098742,0.15913579898029528,0.0,0.12584609574484282,0.09281653674544722,0.02027540345528382,0.2093602806527931,0.0,0.07256835726443074,0.09124895839492357,0.02738720155622725,0.20921698907490432,0.0,0.062911672927043,0.08941345135664401,0.0332442410961236,0.20238112682286732,0.0,0.06699759996811916,0.08374699602898739,0.025059503595006312,0.12146280853817874,0.0,0.10000566991699338,0.12204930236766018,0.027008160911844683,0.10904777372040496,0.0,0.17326647515823412,0.07813506555456112,0.018783032471475062,0.10156201269809437,0.0,0.1639811664386939,0.09496757990746714,0.026050278727223482,0.08931469147797022,0.0,0.1732902278701961,0.10793430557897872,0.02739714958829017,0.0
21,21,0.07792095630334564,0.0,0.1500142717521814,0.07848352101831184,0.017622195921806208,0.056225940295306684,0.0,0.1650227670001094,0.08017767006671614,0.01519406930463704,0.07997974906067724,0.0,0.10656508406150836,0.16713130721135186,0.11210699214538944,0.06978518427514233,0.0,0.10940971451620636,0.17882255095019522,0.07347292980188325,0.08334074693223482,0.0,0.13295825615035034,0.0875777171498626,0.012923933531549069,0.0820243943554186,0.0,0.1434288630941375,0.0797834951596746,0.013988428042462423,0.07594479947954473,0.0,0.17052137948139826,0.05434469045146915,0.015992789332030792,0.07904102027997717,0.0,0.10034918574636263,0.17579749742506112,0.12174322651508372,0.08255029169782653,0.0,0.12347796368917713,0.10661558950520764,0.030570049776015337,0.08006322151997781,0.0,0.13080637717840402,0.082068955385483,0.011831657131033685,0.08065467580637825,0.0,0.1461995778513122,0.07717806302937222,0.0236382645827136,0.08260377151351424,0.0,0.16229674723305593,0.05617443612317901,0.02484473792747669,0.10768697493278492,0.0,0.1202129149384346,0.09522608546216982,0.027810764005927042,0.08082687305312601,0.0,0.12724739141920852,0.08813351152502523,0.01748563617653073,0.07955987570712136,0.0,0.1340584034058987,0.07186676650958639,0.012195763621844005,0.07646662504112879,0.0,0.1558153521943808,0.07249553342917907,0.0173069042111656,0.08630454807167713,0.0,0.16272103095581306,0.06760338586239759,0.019228236792609755,0.10103433547257684,0.0,0.11901349358948085,0.12314107977779433,0.021144983444657046,0.0816081891598926,0.0,0.12839416679374765,0.09489018134713648,0.014798554940679503,0.07626686452753452,0.0,0.1358797198675174,0.07759698178732279,0.011968598752861987,0.08196764465685577,0.0,0.15103422646424053,0.07515854408012929,0.014674724337240324,0.09373341382848104,0.0,0.1557653973759942,0.11231096248153416,0.019189514801632033,0.0729592013936182,0.0,0.1591237899015465,0.10561149530362804,0.012110405602636293,0.07342774324403027,0.0,0.1406680221103092,0.09850472731732947,0.015206626090447303,0.0706622320082263,0.0,0.15154569852973526,0.08203100243266694,0.014567992655182709,0.0784972055624719,0.0,0.15000202776081742,0.09300071825625883,0.0154524205789712,0.07316213891373519,0.0,0.17379627218760368,0.10782244832232857,0.012695162068021713,0.06379854933276094,0.0,0.17554621528868222,0.07935695954786234,0.01222314421567568,0.06317067028622933,0.0,0.18432711639187704,0.10107821146239576,0.01245489586267777,0.04986652915242954,0.0,0.2112923670154941,0.09251316023625047,0.0105471776470147,0.0
23,23,0.23455368907959745,0.0,0.051769962928626,0.055539134413619434,0.030384293288763964,0.24147740822278466,0.0,0.04662811834300032,0.06876663842482188,0.03054563149454385,0.19931107404426174,0.0,0.04035637870541982,0.12178502533755398,0.12496691000669002,0.2082622929026048,0.0,0.04887142811942392,0.08008336842868892,0.06736118412104021,0.2512655815525361,0.0,0.044402330220365716,0.04399481526390642,0.0143493033372808,0.2638403286864773,0.0,0.042209565222471816,0.03867458666993213,0.01405284076044899,0.2500039164026253,0.0,0.0542460007251617,0.041515319846013685,0.020521498641102826,0.16578578090793805,0.0,0.041959820515084637,0.17244541680063513,0.1913723424693728,0.23945788734963686,0.0,0.04938472145345234,0.057961612086621164,0.03576678218491016,0.260051655447289,0.0,0.0403411023158264,0.03204847912225957,0.011650514259398266,0.26250409706442496,0.0,0.04191884397268444,0.04743482052479323,0.027335743440676918,0.23806958663815705,0.0,0.049831479257614816,0.057460936977235276,0.034969639351290584,0.22189106305015804,0.0,0.07089965813394758,0.07951971870864864,0.033637068767458825,0.25231058948186497,0.0,0.04789375576895959,0.04783825476394128,0.02370620752226052,0.26428883898369715,0.0,0.034538459832346664,0.02726136874914593,0.010595546922954693,0.27176078393873865,0.0,0.04472715507307301,0.041024703292242184,0.022728781215775776,0.2313212245839321,0.0,0.06221062282836421,0.05950642987339778,0.027128716679155517,0.14266447040335184,0.0,0.08934850725021384,0.10145083163161883,0.03853417478302349,0.23019943123759976,0.0,0.0641763446581072,0.056304901464935275,0.022381582880821847,0.2537791721704352,0.0,0.048565316978346484,0.03466463787637578,0.01604875519677373,0.25416122634656896,0.0,0.054914808003174435,0.048860942099558886,0.02128397609430117,0.1806777577238983,0.0,0.08791901487906988,0.0856807176704561,0.030609223220819718,0.10470623473964784,0.0,0.11692514865983746,0.08092645251312623,0.0320720204378651,0.19390987059595485,0.0,0.08135381488824403,0.05855547419479577,0.026096854799625514,0.20709026343307207,0.0,0.07788981328284007,0.05617207109687322,0.02257326816371289,0.20315078369115327,0.0,0.0823897399169957,0.07423566962419344,0.02532559314357546,0.14283987865153114,0.0,0.134829004791535,0.11595719950957775,0.029881037350991724,0.07821242606236092,0.0,0.14597358700297908,0.08366330302036387,0.02902545456349974,0.07290037698781097,0.0,0.150090365119157,0.0889686389761866,0.030172767107344064,0.108652659517146,0.0,0.11873973707398212,0.10845178545187033,0.032068893664667066,0.0
24,24,0.1126255614750881,0.0,0.026765841219482115,0.2375037190239292,0.06906360616577345,0.1085849729500178,0.0,0.03361412579758635,0.2870965280685781,0.09100287971395464,0.07173462904424549,0.0,0.02593978845710526,0.2716522435147493,0.17085853439974288,0.08594089176061387,0.0,0.0248637926184968,0.3823499251763762,0.13494443090982775,0.1371378451356933,0.0,0.027223758163094202,0.21590139867355765,0.032250230410907334,0.11978033329110856,0.0,0.03044172488225473,0.19671043300397,0.031977612953983964,0.09532615212882764,0.0,0.02888906185564404,0.1873107275768559,0.04281908699990911,0.07643724031948958,0.0,0.026476173861597858,0.3892362888886025,0.11542293017702494,0.11814827319279128,0.0,0.027987069534128814,0.2866134995319587,0.08903134351156118,0.15433978774650536,0.0,0.02717472153485237,0.18663660594610287,0.031974916602855195,0.12424911045348525,0.0,0.0351907367779689,0.16094394907534104,0.06245367580606431,0.09831615723734824,0.0,0.031401096623324465,0.15419584197273115,0.048576595657726575,0.14464600099297134,0.0,0.05470009813098642,0.15367674003855225,0.06129303455425126,0.15230010807310304,0.0,0.038047578498878035,0.20031181418573304,0.046693727535503785,0.1748923972113148,0.0,0.033239893832675546,0.15974890181109372,0.02870918547237265,0.14484056153248628,0.0,0.045935746360710884,0.13113526269010595,0.044054740572813965,0.12186778145143125,0.0,0.04137948831512017,0.10298966088335716,0.039735290967980126,0.1828369151058178,0.0,0.06610795868045483,0.16577308629690013,0.05187036603504591,0.17133204447810912,0.0,0.04492940882838595,0.15379888977160294,0.034847129838887735,0.17598884633358056,0.0,0.04225211732261197,0.1334942909367773,0.03207250292423169,0.15713194082601606,0.0,0.056992131185413575,0.1176121092461364,0.03312206638149682,0.10632472018758048,0.0,0.06549913871159314,0.11373679822318165,0.049420366114286025,0.18024533828636927,0.0,0.052340225081849864,0.15790753648983338,0.05499502279271222,0.17401858432925632,0.0,0.04281877260560416,0.15098232115967114,0.03918638663355277,0.16626935651944713,0.0,0.051495253553850935,0.12907275532485446,0.03749686983504324,0.1603836360608593,0.0,0.06367487007919574,0.11025869773237856,0.033720372291743066,0.14154461408199445,0.0,0.06807744484294513,0.13159325235739006,0.06530944188202703,0.14652353277510635,0.0,0.05516299036336398,0.1854608142486128,0.0597911833612999,0.1277235760977134,0.0,0.06161897262761042,0.1912636426458468,0.06587523387782214,0.14524278020677964,0.0,0.05583823164033119,0.1623565870334087,0.06412537606587118,1.0
25,25,0.14653583003411008,0.0,0.09306457501357543,0.05327945842241712,0.02765225875703568,0.1583993803446885,0.0,0.08555062863803628,0.07706692937998759,0.0276124726757256,0.11364795436000864,0.0,0.07829516251434156,0.13149203316077393,0.10041477289150423,0.15063947651831125,0.0,0.07383737764055709,0.07119146037918357,0.061336082058292836,0.1576076360789164,0.0,0.08203780198989705,0.05125892682993563,0.015239024098334112,0.15727590105821718,0.0,0.0855620381763216,0.059961237015349535,0.015004025641008709,0.14396610846324887,0.0,0.10415424930479966,0.047620685918069325,0.019473827803697843,0.0957525917007294,0.0,0.06637748420895348,0.15544705318991278,0.1529101286165348,0.1490451578828712,0.0,0.0869203631381432,0.0581559116778389,0.032309466659786006,0.13849445440654254,0.0,0.09084618095635412,0.04960766449295411,0.013393566693895943,0.1440138834166941,0.0,0.09265812349658188,0.06632766229338766,0.025161445899987964,0.12912739919464214,0.0,0.1154270742364792,0.06598975245748882,0.02861054696580042,0.14546777936673885,0.0,0.0826225699968883,0.07669920634493994,0.03501736662907145,0.12596470920673147,0.0,0.1071361956791521,0.057604513676363274,0.021113076296372782,0.12280433546323274,0.0,0.10629110856107953,0.05098157341140323,0.012846096796759144,0.1269115910370462,0.0,0.10895448767313752,0.061383744408649375,0.017139384201775437,0.13565241456188298,0.0,0.1194833295074388,0.06445552424076723,0.022637893432963345,0.12483861667984215,0.0,0.0905737051991475,0.1101496702949045,0.028124109140353012,0.096236641034779,0.0,0.13675950130289774,0.07212953670975722,0.018287415761195518,0.10265873982826863,0.0,0.13226484191749946,0.0544689805594015,0.013629839802785334,0.11776516044362732,0.0,0.12173430467785593,0.06170533849817553,0.015056051504185574,0.13767183802290944,0.0,0.11705794022986435,0.0961713325440762,0.029783409508247326,0.08568886637329129,0.0,0.12735005669283922,0.11203477292007036,0.02236999294623307,0.08389421367557273,0.0,0.15233289846873385,0.08348370382322137,0.01839283103237848,0.08124745344792615,0.0,0.15925160220685064,0.07094935891921253,0.016270349022378568,0.10367806500529513,0.0,0.14337656354043193,0.07434105321790717,0.017609786645701918,0.0880944987970532,0.0,0.15024214446411946,0.13265790073116734,0.03433267048600253,0.0572330708777028,0.0,0.15944923871408728,0.14161713552101787,0.026303409265757548,0.06909323209630053,0.0,0.15810959765982746,0.13756371870395398,0.03029272345400217,0.06268680174740071,0.0,0.18858244985955136,0.12485519559443364,0.02803760737034946,0.0
28,28,0.1276498092537829,0.0,0.026889880684208424,0.2820134950598132,0.2657149240893506,0.16293508136775592,0.0,0.025745443157476774,0.21350162690101304,0.245834635020004,0.1736582474357652,0.0,0.015003255149121491,0.25448210646851416,0.23507626622547095,0.09947532548405004,0.0,0.02648784671372844,0.37374050941393305,0.2678386504911092,0.17241933799554218,0.0,0.038137684299057895,0.2745481439427318,0.15409555563584418,0.11578778559256145,0.0,0.028457281232800027,0.3457150279062833,0.2452606899303851,0.17457388465871454,0.0,0.03465267312446032,0.2470576378961579,0.18532730464811675,0.17838422184504696,0.0,0.014476986593537291,0.261555025548091,0.21714683694100925,0.18951816505383287,0.0,0.01794308466769435,0.2487431521965104,0.19602348527935334,0.1984453741211068,0.0,0.04044755096281155,0.22413099650122506,0.11818299340889472,0.13360898482794567,0.0,0.03686008020328569,0.370644431773832,0.16813137411055015,0.1425772283088665,0.0,0.032978117295319465,0.3594665431777921,0.15713745407782412,0.2424585641062863,0.0,0.025217639957565482,0.14679278959519607,0.14331213182359825,0.21310245046516374,0.0,0.021721466046371027,0.21073293727822032,0.14704942939235718,0.21275530454780986,0.0,0.043728580192342964,0.18827378471597173,0.10155961889529752,0.1757457604896355,0.0,0.07341663942201501,0.21732321585084133,0.11007398829284597,0.16763232763359873,0.0,0.034311242519799626,0.26036517509454743,0.14956704177929991,0.20315208785073655,0.0,0.07271894446485806,0.1438162187828323,0.11412315120339113,0.22867764240349125,0.0,0.03275210082639212,0.17049961312116094,0.09896399898341388,0.2280695973429133,0.0,0.03553963159594049,0.1575920349232941,0.0880850429813059,0.183911776045229,0.0,0.07897762856575707,0.17379815496115858,0.09238291695731328,0.03337228951060713,0.0,0.015428940168653859,0.34666623623149145,0.4564747461944473,0.16329463877463138,0.0,0.11612033316806387,0.12977099598073555,0.09100612106666747,0.20904899466275886,0.0,0.06354498688336459,0.14676038201143998,0.0859994291493318,0.2262150776738748,0.0,0.03292714320782537,0.1589550117454429,0.0828708395161615,0.20654156134995333,0.0,0.04287823568240684,0.15902074070019592,0.08795216657300657,0.18971969534849945,0.0,0.03651830722716514,0.1709445187830555,0.12148189760963883,0.16326268844924216,0.0,0.11564121432826792,0.13637883279762494,0.06889484062487683,0.20293104577208249,0.0,0.05065060881639315,0.15414886693108368,0.0807365026070153,0.19270177840531655,0.0,0.050966168029548016,0.16732639126222815,0.07675079506101315,0.0
