,0
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,1
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,1
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,1
598,0
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,0
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,0
668,1
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,0
677,1
678,1
679,0
680,1
681,1
682,0
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
