,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,label
0,0.186188,0.035327,0.008678,0.019436,0.012044,0.008582,0.005851,0.004385,happiness
1,0.249095,0.052902,0.012438,0.020675,0.012932,0.009894,0.006477,0.004649,happiness
2,0.318001,0.05618,0.012778,0.020908,0.013623,0.010612,0.006561,0.004672,happiness
3,0.383998,0.06292,0.01841,0.02194,0.01466,0.01095,0.006762,0.004787,happiness
4,0.498938,0.06518,0.019788,0.022802,0.017354,0.012368,0.007395,0.004895,happiness
5,0.552812,0.068199,0.020305,0.023793,0.018209,0.012843,0.00749,0.004993,happiness
6,0.570245,0.060086,0.020131,0.023525,0.016928,0.011692,0.006736,0.004354,happiness
7,0.420529,0.054906,0.017231,0.021414,0.01359,0.0102,0.005444,0.003574,happiness
8,0.49147,0.064748,0.02239,0.02003,0.01278,0.016085,0.006228,0.00269,happiness
9,0.644603,0.0811,0.024465,0.021941,0.054619,0.03334,0.006317,0.005229,happiness
10,0.725613,0.099742,0.032957,0.028179,0.062232,0.038139,0.006678,0.004175,happiness
11,0.697423,0.09676,0.029869,0.0304,0.070417,0.037518,0.006555,0.004002,happiness
12,0.718989,0.125301,0.030805,0.03623,0.074855,0.042194,0.008095,0.004231,happiness
13,0.718064,0.126697,0.037376,0.040656,0.074587,0.045971,0.01124,0.006742,happiness
14,0.721917,0.159605,0.057037,0.065356,0.095258,0.054602,0.01411,0.008705,happiness
15,0.861775,0.257796,0.076373,0.066493,0.098201,0.061545,0.017587,0.009206,happiness
16,0.847174,0.259131,0.077604,0.067727,0.099352,0.062244,0.017768,0.009331,happiness
17,0.898933,0.300767,0.088523,0.074707,0.126066,0.073206,0.02067,0.009824,happiness
18,0.833264,0.292022,0.081514,0.074052,0.128598,0.066255,0.019134,0.010032,happiness
19,0.692949,0.2694,0.083323,0.063594,0.08564,0.051511,0.017917,0.007214,happiness
20,0.617063,0.247109,0.073195,0.055551,0.076056,0.04455,0.016229,0.006743,happiness
21,0.589008,0.241838,0.076021,0.054728,0.069918,0.047524,0.017623,0.00766,happiness
22,0.562314,0.220015,0.08012,0.053303,0.071216,0.043894,0.01688,0.007753,happiness
23,0.625378,0.221577,0.074551,0.050445,0.07598,0.043139,0.014967,0.005815,happiness
24,0.700516,0.195089,0.056695,0.029827,0.058082,0.038295,0.013163,0.003881,happiness
25,0.638068,0.101843,0.0383,0.028804,0.055524,0.031581,0.009774,0.003385,happiness
26,0.866151,0.114811,0.047962,0.038058,0.058845,0.034605,0.010147,0.003715,happiness
27,0.946611,0.127633,0.048346,0.052042,0.057815,0.035759,0.008994,0.00423,happiness
